Group,Size,Range,File,Total Value,Total Weight,Time,Optimal?
10MultipleStronglyCorrelated,n01000,R01000,s001.kp,409472,254772,180.8463767,NO
10MultipleStronglyCorrelated,n00050,R01000,s000.kp,21338,14238,0.0026369,YES
10MultipleStronglyCorrelated,n00100,R01000,s000.kp,43316,29016,1.5535488,YES
10MultipleStronglyCorrelated,n00200,R01000,s000.kp,81658,51558,27.5833621,YES
10MultipleStronglyCorrelated,n00500,R01000,s000.kp,203778,127278,205.374053,NO
10MultipleStronglyCorrelated,n01000,R01000,s000.kp,399170,245970,180.0085893,NO
10MultipleStronglyCorrelated,n00050,R10000,s000.kp,217265,142265,0.0002012,YES
10MultipleStronglyCorrelated,n00100,R10000,s000.kp,434921,289921,0.0005305,YES
10MultipleStronglyCorrelated,n00200,R10000,s000.kp,813196,515196,6.5671973,YES
10MultipleStronglyCorrelated,n00500,R10000,s000.kp,2034682,1271682,180.0001957,NO
10MultipleStronglyCorrelated,n01000,R10000,s000.kp,3995528,2457528,180.0002067,NO
11ProfitCeiling,n00050,R01000,s001.kp,11784,11792,0.0367553,YES
11ProfitCeiling,n00100,R01000,s001.kp,25377,25390,17.6473935,YES
11ProfitCeiling,n00200,R01000,s001.kp,48087,48105,179.0238709,NO
11ProfitCeiling,n00500,R01000,s001.kp,123714,123763,180.0432513,NO
11ProfitCeiling,n01000,R01000,s001.kp,254682,254777,109.1392992,YES
11ProfitCeiling,n00050,R01000,s000.kp,14229,14238,1.0862088,YES
11ProfitCeiling,n00100,R01000,s000.kp,29001,29015,48.7701356,YES
11ProfitCeiling,n00200,R01000,s000.kp,51540,51562,184.0445611,NO
11ProfitCeiling,n00500,R01000,s000.kp,127239,127277,180.0285203,NO
11ProfitCeiling,n01000,R01000,s000.kp,245877,245972,180.0047238,NO
11ProfitCeiling,n00050,R10000,s000.kp,142272,142282,0.7760186,YES
11ProfitCeiling,n00100,R10000,s000.kp,289947,289959,177.8062592,NO
11ProfitCeiling,n00200,R10000,s000.kp,515169,515199,180.0000052,NO
11ProfitCeiling,n00500,R10000,s000.kp,1271616,1271685,24.961761,YES
11ProfitCeiling,n01000,R10000,s000.kp,2457411,2457533,180.0000081,NO
12Circle,n00050,R01000,s001.kp,248488,11793,2.2837222,YES
12Circle,n00100,R01000,s001.kp,535012,25391,79.7854908,YES
12Circle,n00200,R01000,s001.kp,1013639,48106,180.0785446,NO
12Circle,n00500,R01000,s001.kp,2607828,123764,180.0002747,NO
